DARTS,Distill-DARTS-SD,Distill-DARTS-KD,SDARTS-RS,SDARTS-ADV
2.93,2.93,2.93,2.93,2.93
4.42,4.77,3.58,3.78,2.95
2.91,4.34,2.99,3.27,1.37
1.73,4.15,3.58,3.07,2.65
1.73,4.49,2.45,3.58,2.65
1.73,4.52,2.45,3.51,1.84
1.37,4.46,2.45,3.33,1.51
1.37,4.1,2.45,3.2,1.6
1.37,3.68,3.68,2.87,1.63
